progress,finished,attention_1,attention_2,attention_3,attention_1_fail,attention_2_fail,attention_3_fail,q1_g20,q2_g20,q3_g20,q4_g20,q5_g20,q6_g20,q7_g20,q8_g20,q9_g20,q10_g20,q11_g20,q12_g20,q13_g20,q14_g20,q15_g20,q16_g20,q17_g20,q18_g20,q19_g20,q20_g20,q16_g5,q17_g5,q18_g5,q19_g5,q20_g5,method_description,time_q1,time_q2,time_q3,time_q4,time_q5,time_q6,time_q7,time_q8,time_q9,time_q10,time_q11,time_q12,time_q13,time_q14,time_q15,time_q16,time_q17,time_q18,time_q19,time_q20,history_q1,history_q2,history_q3,history_q4,history_q5,history_q6,history_q7,history_q8,history_q9,history_q10,history_q11,history_q12,history_q13,history_q14,history_q15,history_q16,history_q17,history_q18,history_q19,history_q20,button_2_to_1,button_3_to_2,button_4_to_3,button_5_to_4,history_a1,history_a2,history_a3,history_a1_fail,history_a2_fail,history_a3_fail,time_button_2_to_1,time_button_3_to_2,time_button_4_to_3,time_button_5_to_4,button_1_to_2,button_2_to_3,button_3_to_4,button_4_to_5,time_button_1_to_2,time_button_2_to_3,time_button_3_to_4,time_button_4_to_5,setting
100,1,2,1,2,,,,3,2,5,1,2,4,2,2,3,2,5,2,4,1,2,3,2,3,2,2,,,,,,"Tried to heuristically figure what the highest ""realistic"" score was (IE not perfect) and go from there","1661452046310, 1661452063712, 1661452132693","1661452051635, 1661452092449, 1661452134496","1661452053582","1661452076510, 1661452095551, 1661452137792","1661452072309, 1661452094818, 1661452139200","1661452105839, 1661452107808, 1661452150268, 1661452153790","1661452109689, 1661452156301, 1661452160429","1661452110856, 1661452158702, 1661452160917","1661452114849","1661452117093, 1661452117837, 1661452164227","1661452176668","1661452178783","1661452181457, 1661452188659","1661452184428","1661452191897","1661452206970","1661452208357","1661452210645","1661452212375","1661452213653","5, 4, 3","4, 3, 2","5","3, 2, 1","4, 3, 2","3, 4, 3, 4","2, 1, 2","2, 1, 2","3","2, 3, 2","5","2","3, 4","1","2","3","2","3","2","2",2,1,,,"2","1","2",,,,"1661452121669, 1661452164995","1661452195470",,,3,2,1,1,"1661452096667, 1661452141502, 1661452169681","1661452172825, 1661452200201","1661452202770","1661452214752",35
100,1,2,1,2,,,,5,1,5,4,4,2,4,3,1,2,2,2,3,1,1,4,5,1,4,4,,,,,,I assumed it would be around 225-235 judging by the answers and so I based by decisions on those numbers.,"1661452131508, 1661452134001, 1661452136972","1661452128666, 1661452134533, 1661452148548","1661452138079","1661452141129","1661452141997","1661452180971","1661452171271","1661452173496","1661452175381","1661452178268","1661452188576, 1661452190544","1661452191563","1661452192950","1661452194135","1661452194998","1661452212044","1661452202867, 1661452205383","1661452214277, 1661452215331","1661452216720, 1661452218950, 1661452221223","1661452223197, 1661452224535","4, 3, 5","3, 2, 1","5","4","4","2","4","3","1","2","3, 2","2","3","1","1","4","4, 5","2, 1","2, 3, 4","3, 4",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661452167354","1661452186496","1661452198454","1661452226819",34
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,5,"i assumed the range 220 to 250 to be average, and 250+ to be the best",,,,,,,,,,,,,,,,"1661452165517, 1661452168171","1661452169386","1661452174591","1661452176562","1661452178310",,,,,,,,,,,,,,,,"4, 3","4","4","4","5",,,,,"2","1","1, 2",,,,,,,,,,,1,,,,"1661452183190",22
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,2,4,"I based my answers on the range of the scores. It was apparent that this test was easy and most people scored high. Therefore, the lowest of the range of scores presumably did the worse. ",,,,,,,,,,,,,,,,"1661452151276","1661452159135, 1661452195897","1661452170263, 1661452182030","1661452173982, 1661452184556","1661452189002",,,,,,,,,,,,,,,,"5","5, 3","4, 2","4, 2","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661452203917",78
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,3,3,"300 divided by 5 brackets, which is increments of 60",,,,,,,,,,,,,,,,"1661452305344","1661452311223","1661452317710","1661452319301","1661452321589",,,,,,,,,,,,,,,,"4","2","2","3","3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661452323993",46
100,1,2,1,2,,,,5,5,5,5,5,4,3,5,5,3,4,2,3,5,1,2,1,4,4,5,,,,,,I looked at the range of scores for the entire page before I made my guesses.,"1661452398644","1661452405775","1661452418117","1661452419399","1661452420683","1661452424663, 1661452431809","1661452429996","1661452433762","1661452435761","1661452442526","1661452448279","1661452450660","1661452453660","1661452455778","1661452458143","1661452462361","1661452463843","1661452467258","1661452469093","1661452470576","5","5","5","5","5","5, 4","3","5","5","3","4","2","3","5","1","2","1","4","4","5",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661452422415","1661452444911","1661452459561","1661452472112",0
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,1,3,I compared the 5 different results and ranked them according to where they landed on the 5 point scale.,,,,,,,,,,,,,,,,"1661452612061","1661452614633","1661452616679, 1661452627018, 1661452636929","1661452618722, 1661452628580","1661452621167, 1661452638215",,,,,,,,,,,,,,,,"5","4","4, 1, 2","4, 1","4, 3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661452645161",51
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,3,2,"They were all relatively close in range, so I figured that they were probably close to the middle percentage. One was much higher than the others (265), so I put it in the highest category and adjusted the others based on that.",,,,,,,,,,,,,,,,"1661452565475","1661452568897","1661452550556","1661452571203","1661452562691",,,,,,,,,,,,,,,,"2","4","5","3","2",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661452573288",34
100,1,2,1,2,,,,5,3,5,4,4,3,5,3,4,4,4,3,4,4,3,2,2,4,4,3,,,,,,I compared to the span of highest vs lowest scores and tried to create relative score ranges that would fall in each percentile category. ,"1661452587928","1661452606343","1661452584517","1661452600054","1661452601326","1661452644277","1661452628554","1661452645885","1661452638025","1661452616796, 1661452639744","1661452675102","1661452683983","1661452656457","1661452678819","1661452680273","1661452691429","1661452690049","1661452693898, 1661452695385, 1661452696212, 1661452698024","1661452698995","1661452700441","5","3","5","4","4","3","5","3","4","5, 4","4","3","4","4","3","2","2","3, 4, 3, 4","4","3",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661452609410","1661452648077","1661452686078","1661452702522",73
100,1,2,1,2,,,,5,4,3,3,5,5,3,4,3,3,5,3,5,3,5,4,4,4,5,4,,,,,,"It was hard for me to say whether any of the given results belonged to the groups 0-20 and 20-40, so I did not choose them, and compared the others to the best results and put the initial results into the lower pool, e.g. from 60-80 to 40-60","1661452591590, 1661452608327","1661452594042, 1661452597030, 1661452674746, 1661452680533","1661452599907, 1661452607475, 1661452671217","1661452601324, 1661452605318, 1661452606817, 1661452671736","1661452602215, 1661452604290","1661452618743","1661452625791","1661452630931","1661452631439, 1661452631505","1661452632650","1661452635840","1661452638402","1661452637359","1661452640111","1661452641504","1661452650527","1661452651002","1661452652344","1661452653667","1661452654461","4, 5","3, 4, 3, 4","3, 4, 3","3, 5, 4, 3","4, 5","5","3","4","3, 3","3","5","3","5","3","5","4","4","4","5","4",1,1,1,,"2","2, 1","2",,,,"1661452667351","1661452661410","1661452657857",,2,2,2,1,"1661452611012, 1661452681620","1661452633723, 1661452684052","1661452646771, 1661452687550","1661452694861",9
100,1,2,1,2,,,,2,5,3,2,4,1,1,3,1,5,4,3,4,4,1,2,5,2,2,2,,,,,,"The lower bound seemed to be 200, or around there; obviously the upper bound was 300. I adjusted the percentiles as I got a better idea of where the lower bound was and where the scores seemed to be clustering. Obviously the scores at the far extremes were easier to assess than the ones in the middle (especially since there was no info on distribution at all, so for all I know it could be significantly skewed, and for that matter there's no guarantee the lower bound is what I think it is).

It's been ages since I've taken statistics.","1661452689277, 1661452715872","1661452690261","1661452695652","1661452696741, 1661452718808","1661452698253","1661452701672, 1661452702240, 1661452705877","1661452704818, 1661452705396, 1661452706184, 1661452723005","1661452707191, 1661452750882","1661452708596","1661452709409","1661452727651, 1661452727867","1661452728736","1661452730115","1661452731643, 1661452746712","1661452732817, 1661452732855","1661452735352, 1661452735657","1661452736687, 1661452739299","1661452740119","1661452741899","1661452741070","4, 2","5","3","3, 2","4","3, 2, 1","2, 1, 2, 1","2, 3","1","5","3, 4","3","4","3, 4","1, 1","1, 2","4, 5","2","2","2",1,2,1,,"1, 1, 2","2, 1","2",,,,"1661452714284","1661452712829, 1661452748633","1661452742948",,2,3,2,1,"1661452699860, 1661452721011","1661452710540, 1661452726213, 1661452753397","1661452734236, 1661452754676","1661452757028",38
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,4,Deducting from high to low and based out of 300,,,,,,,,,,,,,,,,"1661452836477","1661452848659","1661452838838","1661452846891","1661452843827, 1661452846121",,,,,,,,,,,,,,,,"5","4","5","4","3, 4",,,,,"1, 2","2, 1","2",,,,,,,,,,,1,,,,"1661452855885",61
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,5,4,reviewing all scores and updating relative to what i've seen,,,,,,,,,,,,,,,,"1661452831610, 1661452838540","1661452839982","1661452842933, 1661452849747","1661452845023","1661452847166",,,,,,,,,,,,,,,,"5, 4","5","4, 3","5","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661452852313",39
100,1,2,1,2,,,,4,3,3,4,5,4,3,3,4,4,3,4,4,5,4,4,4,4,4,3,,,,,,"It's all a guess but I assumed 300 was probably the highest but 1 was not the lowest, maybe 100. I assumed most people might fall in the middle.","1661452777053","1661452780088","1661452786361","1661452788522","1661452790623","1661452796193","1661452798389","1661452801203","1661452803363","1661452804892","1661452814302","1661452815464","1661452817830","1661452819689","1661452826710","1661452836201","1661452837569","1661452840717","1661452842227","1661452844245","4","3","3","4","5","4","3","3","4","4","3","4","4","5","4","4","4","4","4","3",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661452793005","1661452806482","1661452827923","1661452845144",43
100,1,2,1,2,,,,4,3,4,4,3,5,4,2,3,5,4,3,3,4,2,3,4,3,4,4,,,,,,"I used the first page as a pulse check, then updated and based my answers off of the frequency that I saw the numbers reported. It was challenging because even a score of 200 out of 300 seems like it was a challenging task that was performed adequately, even though he/she isn't a top performer.","1661452851263","1661452853409","1661452857035","1661452858714","1661452861107","1661452868877","1661452870343","1661452871734, 1661452876035","1661452877187","1661452879171","1661452884126","1661452885068","1661452887974","1661452890184","1661452891373","1661452895157","1661452898284","1661452899894","1661452901014","1661452902642","4","3","4","4","3","5","4","3, 2","3","5","4","3","3","4","2","3","4","3","4","4",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661452865596","1661452880426","1661452893202","1661452904085",10
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,4,"Given the difficulty of the test, I would imagine that anyone that received 232 and above would be in the top percentage ",,,,,,,,,,,,,,,,"1661452975612, 1661453029843, 1661453033272","1661452998036, 1661453068449, 1661453073020","1661452999590, 1661453074662, 1661453081543","1661453001847","1661453003616, 1661453077734",,,,,,,,,,,,,,,,"5, 4, 4","5, 4, 5","5, 4, 5","5","5, 4",,,,2,"2","1","2",,,,,,,"1661453027955, 1661453051838",,,,3,,,,"1661453010231, 1661453043723, 1661453082892",80
100,1,2,1,2,,,,4,3,4,5,4,4,4,4,4,4,4,5,3,3,3,2,2,1,2,3,,,,,,"I compared the highest score (250), and the lowest (205), their difference is 45.
There were 5 different score categories, so I divided 45 by 5, getting 9

So i based the categories by adding 9 to 205 first, then 9 again to the next number, etc. like:

205 - 214 (0%-20%)
215 - 224 (20%-40%)
225 - 234 (40%-60%)
235 - 244 (60% - 80%)
245 + (80%-100%)

I know it's probably not perfect but it's the best I could come up with, I hope it is a detailed answer enough :)","1661452227470","1661452229677, 1661452237100, 1661452254789, 1661452322221, 1661452406991","1661452242508","1661452245793, 1661452264636","1661452248013, 1661452267638, 1661452430916","1661452422615, 1661452423795","1661452436030","1661452438262, 1661452854375","1661452440877, 1661452445725","1661452448126, 1661452862161","1661452454005, 1661452830966, 1661452869932","1661452456343","1661452458350","1661452469189, 1661452886926","1661452471725, 1661452474755, 1661452894741","1661452480756, 1661452481838, 1661452902117","1661452490019, 1661452909252","1661452486559, 1661452911402","1661452492793, 1661452919885","1661452497981, 1661452922699","4","3, 4, 3, 4, 3","4","4, 5","4, 5, 4","5, 4","4","3, 4","3, 4","4, 4","3, 4, 4","5","3","4, 3","4, 3, 3","2, 2, 2","2, 2","1, 1","3, 2","3, 3",2,2,2,1,"2","1","2",,,,"1661452314376, 1661452428276","1661452521655, 1661452834520","1661452515543, 1661452820037","1661452504322",3,3,3,2,"1661452281018, 1661452418908, 1661452432302","1661452449562, 1661452527384, 1661452862857","1661452475746, 1661452541730, 1661452895730","1661452499043, 1661452923822",37
100,1,2,2,2,2,1,2,4,5,4,5,5,4,4,4,5,4,4,4,4,5,3,4,4,4,5,4,,,,,,"I honestly had no idea, I just guessed. Since the applicant pool is so large compared to the number of scores I actually saw, there is absolutely no reason to believe that they are representative of the actual distribution of scores.","1661453145797, 1661453146410","1661453149708","1661453151683","1661453154199","1661453156276","1661453163002","1661453164231","1661453167662","1661453168672","1661453171690","1661453175257","1661453175845","1661453177864","1661453178607","1661453181139","1661453183761","1661453184358","1661453187230","1661453188235","1661453190043","5, 4","5","4","5","5","4","4","4","5","4","4","4","4","5","3","4","4","4","5","4",,,,,"2","2","2","2","1","2",,,,,1,1,1,1,"1661453160692","1661453173446","1661453181962","1661453191090",95
100,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","1, 2, 1","1, 2","2","2, 1",,,,,,,,,,,,,
100,1,2,2,2,2,1,2,5,5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,5,,,,,,tried to look at perentage of 300,"1661453232481","1661453246150","1661453247799","1661453240215","1661453241901","1661453256652","1661453258940","1661453260705","1661453262175","1661453263746","1661453267602","1661453271251","1661453273262","1661453274996","1661453277156","1661453280936","1661453282054","1661453284252","1661453286210","1661453288465","5","5","5","4","4","4","4","4","4","5","4","4","4","5","4","4","4","5","4","5",,,,,"1, 2","2","2","2","1","2",,,,,1,1,1,1,"1661453251942","1661453265363","1661453278864","1661453290231",17
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,5,"The methodology I considered when completing the estimates was to initially review all of the scores listed.  Then, I considered what may have been the highest score, a score of 300.  From there, I determined that the scores were generally quite high on this particular exam.  I awarded the score closest to 300 the highest percentage and then set the remaining percentages based upon that first high score.  ",,,,,,,,,,,,,,,,"1661453342995","1661453329650","1661453338531","1661453345813","1661453307815",,,,,,,,,,,,,,,,"3","4","4","3","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661453348067",15
100,1,2,1,2,,,,5,4,4,4,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,,,,,,Higher scores are higher percentages,"1661453418419","1661453419818","1661453422317","1661453423485","1661453424862, 1661453432913","1661453436087, 1661453436370","1661453436947","1661453439380","1661453440430","1661453441651","1661453445466","1661453446732","1661453449288, 1661453449871","1661453451082","1661453452673, 1661453453081","1661453459201, 1661453460755","1661453461383","1661453462622, 1661453463871","1661453464704","1661453465600","5","4","4","4","4, 5","4, 5","5","4","5","5","4","5","4, 5","5","3, 4","4, 5","5","4, 5","5","5",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661453434055","1661453442806","1661453454192","1661453466610",71
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,4,"I looked at all of the scores and figured out the range(the lowest score and the highest score). I then tried to create relatively flexible groupings in my head of what I thought the ranges would be the percentiles(e.g. 40-60% might be 210-225. I then arranged with these ranges in mind. I also assumed that a score in the 80-100% percentile would not be in the sample(which is why I ranked none of the scores at following in this percentile). My rationale for that was that a) this is a small sample b) being the highest percentile, it would naturally have the lowest amount of scores following in that range which would mean there is a small chance one of these scores would be in the small sample. ",,,,,,,,,,,,,,,,"1661453535244","1661453537834","1661453542336","1661453544312","1661453546414, 1661453550524",,,,,,,,,,,,,,,,"3","2","1","2","3, 4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661453552291",4
100,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","1, 2","2","2",,,,,,,,,,,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,5,5,I separated 300 into thirds and estimated,,,,,,,,,,,,,,,,"1661453746012","1661453765679","1661453769724","1661453777696","1661453779949",,,,,,,,,,,,,,,,"4","4","3","5","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661453782796",11
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,3,3,"I just took the averages and determined which ones fall into the score percentage curves. To put it simply, I curved the scores to match the percentages.",,,,,,,,,,,,,,,,"1661453880623","1661453881404","1661453877984","1661453883548","1661453885378",,,,,,,,,,,,,,,,"4","4","5","3","3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661453887316",67
100,1,2,1,2,,,,4,3,5,3,3,4,3,2,5,4,2,4,2,4,5,4,4,4,4,3,,,,,,Initially I divided 300 by 5 and broke my categories up each covering 1/5 of the total. Then I adjusted up or down according to what the provided samples indicated.,"1661453611186","1661453618337","1661453624842","1661453630627","1661453636962","1661453707055, 1661453738878","1661453711644, 1661453740266, 1661453770520","1661453722314, 1661453764618","1661453726799","1661453758380","1661453792699","1661453799631, 1661453803062","1661453804422","1661453807782","1661453810317","1661453818729","1661453822059","1661453823192","1661453826855","1661453828880","4","3","5","3","3","3, 4","3, 4, 3","3, 2","5","4","2","3, 4","2","4","5","4","4","4","4","3",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661453694058","1661453773971","1661453812771","1661453831843",80
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,Just a guess based on where it's at 0-300,,,,,,,,,,,,,,,,"1661453894459","1661453896199","1661453904775","1661453907750","1661453909347",,,,,,,,,,,,,,,,"3","3","3","3","3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661453911780",83
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,3,5,I went through the scores and then went back and adjusted the predictions based on how common a score range was.,,,,,,,,,,,,,,,,"1661453928885, 1661453942470","1661453936140","1661453947116","1661453951036","1661453955971",,,,,,,,,,,,,,,,"4, 3","5","4","3","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661453959660",29
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,4,5,4,5,5,Just logic based on the difficulty of the first test and their respective scores.,,,,,,,,,,,,,,,,"1661454015218","1661454024112","1661454025601","1661454028009","1661454029029",,,,,,,,,,,,,,,,"4","5","4","5","5",,,,,"2","2","2, 1, 2","2","1","2",,,,,,,,1,,,,"1661454031217",53
100,1,2,1,2,,,,5,3,5,4,3,1,3,5,4,3,3,4,2,3,3,3,3,3,5,1,,,,,,I used the numbers on each page to guage the highest and lowest of that sample and adjusted accordingly as more numbers became apparent.,"1661453951657","1661453972079","1661453958588, 1661453985225","1661453979848","1661453967009","1661454007599","1661454012732","1661454016311, 1661454032926","1661454017209","1661454020694","1661454055364","1661454057905","1661454046411, 1661454067018","1661454063879","1661454070628","1661454097080","1661454093133","1661454089566","1661454081659","1661454084422","5","3","4, 5","4","3","1","3","4, 5","4","3","3","4","1, 2","3","3","3","3","3","5","1",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661453994832","1661454035280","1661454074842","1661454102711",32
