progress,finished,attention_1,attention_2,attention_3,attention_1_fail,attention_2_fail,attention_3_fail,q1_g20,q2_g20,q3_g20,q4_g20,q5_g20,q6_g20,q7_g20,q8_g20,q9_g20,q10_g20,q11_g20,q12_g20,q13_g20,q14_g20,q15_g20,q16_g20,q17_g20,q18_g20,q19_g20,q20_g20,q16_g5,q17_g5,q18_g5,q19_g5,q20_g5,method_description,time_q1,time_q2,time_q3,time_q4,time_q5,time_q6,time_q7,time_q8,time_q9,time_q10,time_q11,time_q12,time_q13,time_q14,time_q15,time_q16,time_q17,time_q18,time_q19,time_q20,history_q1,history_q2,history_q3,history_q4,history_q5,history_q6,history_q7,history_q8,history_q9,history_q10,history_q11,history_q12,history_q13,history_q14,history_q15,history_q16,history_q17,history_q18,history_q19,history_q20,button_2_to_1,button_3_to_2,button_4_to_3,history_a1,history_a2,history_a3,history_a1_fail,history_a2_fail,history_a3_fail,setting
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,4,3,3,4,5,I went with the higher the score the higher the percentile ,,,,,,,,,,,,,,,,"1656647946643","1656647954514","1656647960783","1656647966222","1656647973622",,,,,,,,,,,,,,,,"4","3","3","4","5",,,,"2","2","2","2","1","2",4
100,1,2,1,2,,,,3,3,1,4,5,5,1,1,4,3,2,4,4,2,3,1,2,2,2,4,,,,,,I was basing the scores on all the given numbers. I assumed most would fall within the range of the numbers given so ranked according to the given numbers with the assumption that the test was easy enough for most people to get a score over 200,"1656648111309, 1656648131357, 1656648233114","1656648119608, 1656648132457, 1656648232197","1656648121457, 1656648134272, 1656648235680","1656648123724, 1656648137605","1656648125375","1656648159653, 1656648160152","1656648147756, 1656648218900, 1656648221148, 1656648241096, 1656648242380","1656648150106, 1656648220483","1656648152355, 1656648152720, 1656648163303, 1656648225981","1656648154937, 1656648225001","1656648168837, 1656648210848","1656648170670, 1656648171188","1656648172807","1656648175387, 1656648213066","1656648180271, 1656648214316","1656648184436, 1656648187234, 1656648200932","1656648187965, 1656648203734","1656648189672, 1656648205401","1656648190665, 1656648206533","1656648191686","5, 4, 3","5, 4, 3","4, 3, 1","5, 4","5","4, 5","3, 2, 1, 5, 1","3, 1","3, 4, 5, 4","4, 3","3, 2","3, 4","4","3, 2","4, 3","4, 3, 1","3, 2","3, 2","3, 2","4",1,1,1,"2, 1, 2","2, 1","2",,,,14
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,4,4,I adjusted according to score averages.,,,,,,,,,,,,,,,,"1656648478308, 1656648481705, 1656648506725","1656648486657","1656648488723","1656648493936","1656648496508",,,,,,,,,,,,,,,,"5, 4, 3","5","4","4","4",,,,"2","1","2",,,,38
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,5,4,With a small sample size I assumed more people did well on test so I adjusted to assume the low 200's were middle and mid 200's were semi high and upper 200's were top.,,,,,,,,,,,,,,,,"1656648480222, 1656648514500","1656648483335, 1656648484527","1656648487995","1656648491220","1656648497523, 1656648525169",,,,,,,,,,,,,,,,"4, 3","4, 5","4","5","3, 4",,,,"2","1","2",,,,1
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,1,3,"I tried to order them according to the score, considering the score range in which the participants were",,,,,,,,,,,,,,,,"1656648629299","1656648618604","1656648625512","1656648612504","1656648626997",,,,,,,,,,,,,,,,"3","5","2","1","3",,,,"2","1","2",,,,33
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,3,2,"The method I used to estimate these percentiles was to just rank the individuals based on their score, and place them in their percentiles based on their rank. In this way, I would hope to try and get a couple of answers correct.",,,,,,,,,,,,,,,,"1656648700567","1656648699477","1656648707523","1656648713109","1656648714786",,,,,,,,,,,,,,,,"4","5","1","3","2",,,,"2","1","2",,,,16
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,3,3,"i pictured the numbers in terms of 20s, not 200s, and 20 as 0 and 30 as 100.",,,,,,,,,,,,,,,,"1656648715165","1656648718848","1656648700215","1656648746950","1656648767017",,,,,,,,,,,,,,,,"2","3","4","3","3",,,,"2","1","2",,,,30
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,3,3,"I first looked at the overall scores and compared them to each other, noticing that most of them were lower than 300. I then thought back to the original example and tried to apply a similar logic, even though I knew that they were not related. ",,,,,,,,,,,,,,,,"1656648769987","1656648768388","1656648781281","1656648776153","1656648779019",,,,,,,,,,,,,,,,"4","5","4","3","3",,,,"2","1","2",,,,41
100,1,2,1,2,,,,5,5,4,2,4,3,2,1,5,1,5,3,2,2,5,2,3,3,5,4,,,,,,I remembered the maximum and minimum scores I had seen so far and used that as the cutoffs for 0% and 100%.,"1656648680042","1656648683445, 1656648782909, 1656648785074","1656648684766","1656648693849, 1656648789486","1656648690855","1656648726820, 1656648758580","1656648724753, 1656648760699","1656648720802, 1656648763158, 1656648765953","1656648717136, 1656648770307, 1656648773158","1656648710973, 1656648775736","1656648737776","1656648750519","1656648745330","1656648747050","1656648735017","1656648809424","1656648811641","1656648813486, 1656648824500","1656648815273","1656648825992","5","5, 4, 5","4","3, 2","4","4, 3","3, 2","3, 2, 1","5, 4, 5","3, 1","5","3","2","2","5","2","3","4, 3","5","4",1,1,,"2","1","2",,,,3
100,1,2,1,2,,,,4,5,4,5,5,5,4,3,4,1,1,2,1,1,1,2,1,1,1,4,,,,,,"Initial assumption, prior to sample being shown, was a normal distribution of scores (and thus likely wider range of scores in bottom and top percentiles of applicants)  After seeing numbers from sample, estimate top scores are are 245-300 and bottom percentile 0-210.","1656648362877, 1656648368227","1656648369437","1656648372397","1656648374415","1656648376170","1656648402413","1656648405361","1656648410205","1656648412281","1656648415058","1656648419635, 1656648421738","1656648422975","1656648424340","1656648426921","1656648428285","1656648438467","1656648440233","1656648441050","1656648441887","1656648443656","5, 4","5","4","5","5","5","4","3","4","1","2, 1","2","1","1","1","2","1","1","1","4",,,,"2","1","2",,,,4
100,1,2,1,2,,,,3,1,1,2,2,2,3,2,5,1,2,4,3,1,3,2,4,1,4,3,,,,,,"I realized that the largest was in an order of 50 and the smallest was always in order 10, then I simply distributed according to that","1656648529700, 1656648676864, 1656648677141","1656648521334, 1656648855591, 1656648871303","1656648522422, 1656648858217, 1656648870353","1656648527447, 1656648534893, 1656648536032, 1656648679428, 1656648862866, 1656648869353","1656648528264, 1656648532730, 1656648534409, 1656648683449","1656648550137","1656648543993, 1656648689889, 1656648691520","1656648549116","1656648541299","1656648547168","1656648579071, 1656648579344","1656648566051, 1656648712759","1656648567731, 1656648571040, 1656648711322","1656648575859","1656648577113, 1656648718501, 1656648722031","1656648638187","1656648632278, 1656648726144, 1656648817550","1656648634076, 1656648820335, 1656648899026","1656648630554, 1656648728339, 1656648729518, 1656648730057","1656648636006, 1656648640455, 1656648731357, 1656648731688","5, 4, 3","1, 2, 1","1, 2, 1","3, 4, 3, 2, 3, 2","3, 4, 3, 2","2","4, 2, 3","2","5","1","2, 2","5, 4","5, 4, 3","1","3, 2, 3","2","4, 3, 4","1, 2, 1","5, 4, 5, 4","4, 3, 2, 3",2,2,2,"2","2, 1","2",,,,39
100,1,2,1,2,,,,4,4,4,5,5,4,4,4,4,4,4,5,4,5,5,4,5,4,4,4,,,,,,"there was five percentile categories and the range of scores was 1-300. 300/5=60. so every percentile went by 60s. 300-60=240, 240-60=180. most of the scores fell within the two highest percentiles ","1656648619539","1656648628218","1656648632110","1656648635754","1656648638405","1656648655073","1656648657555","1656648663173","1656648667001","1656648668623","1656648707544","1656648708821, 1656648720452","1656648722477","1656648724342","1656648726542","1656648734828","1656648735801, 1656648736929","1656648738752","1656648740578","1656648742143","4","4","4","5","5","4","4","4","4","4","4","4, 5","4","5","5","4","4, 5","4","4","4",1,1,1,"2","1","2",,,,43
100,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,3,5,4,4,3,I have just followed the instruction.,,,,,,,,,,,,,,,,"1656648997291, 1656649001890, 1656649033508","1656649010581","1656649018347","1656649022061","1656649024052, 1656649030585",,,,,,,,,,,,,,,,"5, 4, 3","5","4","4","4, 3",,,,"1","2","1","2","2, 1","1, 2",23
100,1,2,1,2,,,,1,3,4,2,5,3,1,3,3,3,3,5,1,1,1,1,2,3,1,2,,,,,,I used the highest and lowest scores as benchmarks for the best and worst percentile rankings.,"1656649022534","1656649033477","1656649031464","1656649037305","1656649015981","1656649052765","1656649054165","1656649061104","1656649063250","1656649064684","1656649070344","1656649072359","1656649073791","1656649074916","1656649076552","1656649081538","1656649083380","1656649086101","1656649087271","1656649095946","1","3","4","2","5","3","1","3","3","3","3","5","1","1","1","1","2","3","1","2",,,,"2","1","2, 2",,,,27
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,5,1,5,5,1,There seemed to be a gap in the higher numbers and lower numbers. The lower numbers I decided would be in the 0-20% and the higher ones in the 80-100%.,,,,,,,,,,,,,,,,"1656649062305, 1656649116377, 1656649117489","1656649065318, 1656649092212, 1656649129155","1656649070771","1656649073791","1656649078013, 1656649122610",,,,,,,,,,,,,,,,"5, 4, 5","4, 3, 1","5","5","3, 1",,,,"2","2, 2","2","2","1","2",40
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,3,4,4,3,5,I relied on intuition thinking how that range of scores looked overall. They weren't that far apart so I guesstimated that they were in the upper percentiles and ranked them accordingly starting with the highest. ,,,,,,,,,,,,,,,,"1656649181135, 1656649190708","1656649201184","1656649202263","1656649218834","1656649194763",,,,,,,,,,,,,,,,"5, 3","4","4","3","5",,,,"2","2","2","1, 2","1","2",7
100,1,2,1,2,,,,1,3,1,5,3,2,2,2,4,1,2,3,1,3,2,1,1,2,3,2,,,,,,"Initially, I broke the total of 300 into 5 equal chunks, so the lowest 20% would be scores 0-60 and the highest 20% would be scores 241-300. After the first couple of pages, it became clear that it was an easy test, and nobody was scoring below 200. I then recalculated the five ranges to be 201-220, 221-240, 241-260, 261-280, and 281-300, which seemed to be a more accurate representation of the scores achieved.","1656648848964, 1656648896237, 1656648928758, 1656648942100, 1656649035453","1656648853255, 1656648901721, 1656648946823, 1656648947911, 1656648948311, 1656649055474","1656648857111, 1656648903757, 1656648932149, 1656649057774","1656648866710","1656648907094, 1656648956806","1656648975643, 1656649068361","1656648977102, 1656649069694","1656648978868, 1656649071378","1656648980734","1656648982739, 1656649074934","1656648990983","1656648992383","1656648993800, 1656649084770","1656648999113, 1656649087453","1656649001442, 1656649090044","1656649011598","1656649013412","1656649016693","1656649019174","1656649021414, 1656649099068","3, 4, 3, 2, 1","4, 5, 3, 4, 4, 3","3, 4, 3, 1","5","5, 3","3, 2","3, 2","3, 2","4","2, 1","2","3","2, 1","4, 3","3, 2","1","1","2","3","1, 2",1,1,1,"2","1","2",,,,31
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,3,5,Assumed that 220 was the mid range and then distributed the others based on that ,,,,,,,,,,,,,,,,"1656649296671, 1656649298146, 1656649318789, 1656649336626","1656649310378, 1656649320582, 1656649322862, 1656649349760","1656649282427, 1656649324866, 1656649347368","1656649283127, 1656649325431, 1656649348508","1656649290963, 1656649352949",,,,,,,,,,,,,,,,"1, 2, 1, 2","4, 2, 3, 4","3, 2, 3","3, 2, 3","4, 5",,,,"2","1","2",,,,22
100,1,2,1,2,,,,5,4,5,3,3,3,3,3,3,5,3,3,2,4,3,3,2,5,3,4,,,,,,I get their percent base partial from the 300 score. Like 271/300 is 90%.,"1656649221905","1656649229964","1656649233842","1656649273660","1656649275018","1656649288107","1656649289836","1656649296259","1656649297655","1656649300454","1656649307664","1656649309002","1656649313342","1656649318578","1656649326732","1656649333727","1656649335009","1656649338651","1656649348596","1656649350082","5","4","5","3","3","3","3","3","3","5","3","3","2","4","3","3","2","5","3","4",,,,"2","1","2",,,,17
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,4,"Since all the numbers were high in the range of possible values given, I decided the average score must be pretty high. I put each score in a different bracket based on their performance.",,,,,,,,,,,,,,,,"1656649378742","1656649379734","1656649381498","1656649385472","1656649384910",,,,,,,,,,,,,,,,"1","2","3","5","4",,,,"2","1","2",,,,3
100,1,2,1,2,,,,3,3,5,2,1,2,3,2,3,4,4,4,5,5,4,4,3,1,3,5,,,,,,"I first started by how close to 300 the scores were, then as I got more scores I tried to visualize where they were bunching and tended to group based on where the tens digit was, as all the scores were over 200.","1656649379777, 1656649464250","1656649383182, 1656649465143","1656649389347","1656649392295, 1656649417892, 1656649468802","1656649401195, 1656649416376, 1656649470167","1656649443932","1656649446505","1656649438180","1656649448567","1656649450231","1656649479100","1656649480113","1656649481920","1656649483810","1656649484791","1656649490718","1656649492555","1656649494565","1656649497610","1656649498818","4, 3","4, 3","5","4, 3, 2","3, 2, 1","2","3","2","3","4","4","4","5","5","4","4","3","1","3","5",1,,,"2","1","2",,,,18
100,1,2,1,2,,,,2,2,3,3,2,4,4,2,2,2,3,3,4,4,4,4,2,3,4,4,,,,,,"I noticed that the scores were overwhelmingly in the 220-260 range. When I first started, and only had a few data points, I put all of them in around the the 40-50% range, but as I realized that almost all the scores are in the 220-260 range, I started to ""spread"" my guesses out a little more, marking ones below 240 lower in percentiles and the ones above 240 higher in percentiles. I didn't do any specific math, just estimated in my head.","1656649357320, 1656649362229, 1656649430720","1656649363580, 1656649431799","1656649365077","1656649366690, 1656649433949, 1656649434493","1656649368040, 1656649436078","1656649388393, 1656649421848","1656649390243, 1656649422871","1656649391268, 1656649424100","1656649393135, 1656649425073","1656649395471, 1656649427026","1656649401670","1656649403573","1656649405446, 1656649416531","1656649411745, 1656649412848","1656649418951","1656649446290","1656649447459","1656649448506","1656649449385","1656649450502","4, 3, 2","3, 2","3","3, 4, 3","3, 2","3, 4","3, 4","3, 2","3, 2","3, 2","3","3","3, 4","3, 4","4","4","2","3","4","4",1,1,,"2","1","2",,,,5
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,3,Once I saw the 250 I used that as a point to compare to the others,,,,,,,,,,,,,,,,"1656649623316","1656649628726","1656649631038","1656649636200","1656649640589, 1656649652438",,,,,,,,,,,,,,,,"5","5","4","5","4, 3",,,,"2","1","2",,,,32
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,4,I marked which scores were closer to 300 as being in a higher percentile.,,,,,,,,,,,,,,,,"1656649572188, 1656649593654","1656649595177","1656649598143","1656649600287","1656649601858",,,,,,,,,,,,,,,,"4, 3","4","3","3","4",,,,"2","1","1, 2",,,,14
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,5,i just guessed,,,,,,,,,,,,,,,,"1656649669706","1656649672964","1656649677159","1656649680138","1656649682349",,,,,,,,,,,,,,,,"4","4","5","4","5",,,,"2","1","2",,,,17
100,1,2,2,2,2,1,2,2,3,2,2,2,2,5,5,1,4,3,3,1,2,4,2,1,3,4,4,,,,,,"I went back and forth between the pages trying to think of what the average number roughly was. I believe it was around 235, so anything above that amount, I put in the average category (40-60%). The lowest amount was like 202, so anything in the low 200-215ish was in the 0-20% and 20-40% was around 220 (give or take) to 235. I did this same strategy for the upper range as well: braking the upper half of the scores into two categories after I had decided on a rough average. ","1656649036242, 1656649152309","1656649044651, 1656649154211","1656649042228, 1656649163942, 1656649428167","1656649027280, 1656649165861","1656649025248, 1656649038976","1656649131522","1656649127258, 1656649264601, 1656649268986","1656649128036","1656649108287","1656649115881, 1656649120523, 1656649146790, 1656649258437, 1656649289517","1656649235595","1656649236534","1656649218565","1656649200067","1656649204383, 1656649205624, 1656649325938, 1656649399131","1656649301583, 1656649529015, 1656649535565","1656649404919","1656649459207","1656649461462","1656649465763","3, 2","5, 3","4, 3, 2","3, 2","3, 2","2","5, 4, 5","5","1","4, 3, 4, 3, 4","3","3","1","2","3, 4, 3, 4","2, 3, 2","1","3","4","4",3,6,2,"2","2","2","2","1","2",46
100,1,2,1,2,,,,5,4,4,5,5,5,4,4,5,5,4,4,4,4,5,4,5,5,5,5,,,,,,"I reviewed all scores on the page before making a decision. Then I looked at the highest, lowest, and middle scores and made my decisions.","1656649614364","1656649619804","1656649622724","1656649616716","1656649628204","1656649634277","1656649645356","1656649649028","1656649639981","1656649655819","1656649669987","1656649671257","1656649672993","1656649674290","1656649676867","1656649690145","1656649682963","1656649684382","1656649685945","1656649687940","5","4","4","5","5","5","4","4","5","5","4","4","4","4","5","4","5","5","5","5",,,,"2","1","2",,,,13
100,1,2,1,2,,,,1,4,2,4,3,2,3,4,5,3,4,1,5,3,4,1,2,2,2,4,,,,,,"Based on what I saw when I got to page 2, I went back to pg 1 and tried to go ""basically"" around answers 200-220 are lowest, 220-230ish are next tier, 240ish are the next tier, 250ish are the next tier, anything above around 270 I did the highest tier. ","1656649821629, 1656649851690","1656649825584, 1656649852982","1656649833229, 1656649857264","1656649831596, 1656649855188","1656649830873, 1656649856107","1656649862189","1656649863678","1656649864891","1656649848051","1656649873702","1656649876671","1656649877821","1656649879742","1656649881156","1656649882253","1656649886956","1656649887869","1656649888784","1656649890074","1656649892507","2, 1","5, 4","3, 2","5, 4","4, 3","2","3","4","5","3","4","1","5","3","4","1","2","2","2","4",2,,,"2","1","2",,,,22
69,0,2,1,2,,,,5,4,3,2,3,4,5,3,5,4,,,,,,,,,,,,,,,,,"1656646382856","1656646385400, 1656646408073","1656646391161, 1656646410185","1656646392616, 1656646411880, 1656646414192","1656646394680, 1656646415131","1656646427217","1656646428850","1656646430496, 1656646436804","1656646432801","1656646434936, 1656646445446",,,,,,,,,,,"5","5, 4","4, 3","4, 3, 2","4, 3","4","5","4, 3","5","3, 4",,,,,,,,,,,,,,"2","1","2",,,,19
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,4,I looked at all of them to judge the degree of variance between them.,,,,,,,,,,,,,,,,"1656650228125","1656650231139","1656650232780","1656650220879","1656650238174",,,,,,,,,,,,,,,,"4","3","4","5","4",,,,"2, 1, 2","2, 1","2",,,,48
